content_id,english_phrase,current_word_type,suggested_type,confidence,lesson_name,lesson_level,issues,severity
"f9ad3cc8-cc8b-4af9-a8ae-3d8a14e4144d","On the other hand","phrase","phrase","0.6","Making Plans","1","too complex for level 1","2"
"0b9c467b-64ce-40cb-a4fc-7e3efe5b07f3","I go to sleep","phrase","phrase","0.6","Daily Routines","1","too complex for level 1","2"
"1ad94f35-eb3c-4e58-973f-98d484c5677e","I go to work","phrase","phrase","0.6","Daily Routines","1","too complex for level 1","2"
"16ad5bf7-0a45-491f-aba6-8ed0da995528","I take a shower","phrase","phrase","0.6","Daily Routines","1","too complex for level 1","2"
"97217b7f-9cfc-447d-968e-1c448b25d430","I sleep in my bed","preposition","sentence","0.6","Daily Routines","1",""I sleep in my bed" is a sentence but labeled as "preposition"; too complex for level 1","3"
"68e846fc-0cab-4cc1-af81-89dd57d595f0","This is our kitchen","phrase","phrase","0.6","Daily Routines","1","too complex for level 1","2"
"b8650d85-f9a3-4cdd-9b2b-5dc6d2b0fdb4","Have a good rest","phrase","phrase","0.6","Albanian Sounds - Part 10","1","too complex for level 1","2"
"b26c2886-04f0-4be1-968a-3c709434e6d5","How old are you?","question","question","0.9","Albanian Sounds - Part 10","1","too complex for level 1","2"
"a4d39586-9ff6-4e17-9e15-1693d0ed7883","My uncle is visiting","phrase","phrase","0.6","Albanian Sounds - Part 10","1","too complex for level 1","2"
"83953c1f-91f5-49ab-a216-0a3526420544","Everything will be fine","phrase","phrase","0.6","Albanian Sounds - Part 8","1","too complex for level 1","2"
"868ff378-a73b-48ae-b2a0-cb7994bd9cbc","Good afternoon","courtesy_phrase","phrase","0.6","Albanian Sounds - Part 8","1","Analyzed as "phrase" but labeled as "courtesy_phrase"","2"
"7efd0a07-689a-4097-a969-56596df4b972","Please sit down","phrase","courtesy_phrase","0.9","Albanian Sounds - Part 8","1","Analyzed as "courtesy_phrase" but labeled as "phrase"","2"
"83d8b820-9abc-44d4-9933-c5612c053b4d","We are having dinner","phrase","phrase","0.6","Albanian Sounds - Part 8","1","too complex for level 1","2"
"ad9def99-9a4a-457d-8420-21b54ca0b6b1","Can you explain this concept?","pronoun","question","0.9","Future Plans","1","Analyzed as "question" but labeled as "pronoun"; too complex for level 1","2"
"e47c5263-99ee-4b78-acea-f4a889256033","How can I assist you today?","adverb","question","0.9","Future Plans","1","Analyzed as "question" but labeled as "adverb"; too complex for level 1","2"
"7430188a-8fe1-4595-91bd-380371ae6cb0","Let's meet tomorrow at the office.","adverb","sentence","0.8","Future Plans","1","Analyzed as "sentence" but labeled as "adverb"; too complex for level 1","2"
"d0ba901d-d19f-4d71-a0f9-894c9dbb1951","Nice to meet you","phrase","phrase","0.6","Talking About Feelings","1","too complex for level 1","2"
"288c3ba9-3840-49a1-b6b0-bb5628dfa847","Hello, how are you?","question","question","0.9","Basic Greetings","1","too complex for level 1","2"
"398ee023-7c5b-4979-8e5e-3221d019ef3a","Please","courtesy_phrase","word","0.7","Basic Greetings","1","Analyzed as "word" but labeled as "courtesy_phrase"","2"
"df87b757-00eb-4084-84a4-e6eaf96fecaa","I would like a coffee, please.","phrase","sentence","0.8","Basic Greetings","1","Analyzed as "sentence" but labeled as "phrase"; too complex for level 1","2"
"2b36e308-2b29-4a22-9433-665f7a3d5800","Thank you very much.","courtesy_phrase","courtesy_phrase","0.9","Basic Greetings","1","too complex for level 1","2"
"ab348c97-ec9e-4564-bce9-f72b73f14b73","Can you help me?","question","question","0.9","Basic Greetings","1","too complex for level 1","2"
"1ecbd2a0-9de1-48a5-a3be-fdb29190f6b7","I am a student.","phrase","phrase","0.6","Basic Greetings","1","too complex for level 1","2"
"7d700ac1-6b8b-4fdc-a5a2-458000e63c01","Where is the library?","question","question","0.9","Basic Greetings","1","too complex for level 1","2"
"fff437bc-f70c-41b4-ad65-a7c4110d4b9c","Please","courtesy_phrase","word","0.7","Places in Town","1","Analyzed as "word" but labeled as "courtesy_phrase"","2"
"69e0df06-ddd9-4ada-95f3-1c012da1dd8f","Hello, my name is Ana","greeting","sentence","0.6","Places in Town","1","Analyzed as "sentence" but labeled as "greeting"; too complex for level 1","2"
"d3083474-8a2f-4851-88e6-3db7bf598067","Hello, my name is John","pronoun","sentence","0.6","Places in Town","1",""Hello, my name is John" is a sentence but labeled as "pronoun"; too complex for level 1","3"
"59125ed8-ac68-4aa9-8a5f-b5cd107d1151","Thank you very much","courtesy_phrase","courtesy_phrase","0.9","Places in Town","1","too complex for level 1","2"
